JANUS CAPITAL MANAGEMENT LLC
20160930
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt - sshPrnamt	shrsOrPrnAmt - sshPrnamtType	investmentDiscretion	otherManager	votingAuthority - Sole	votingAuthority - Shared	votingAuthority - None
EXELIXIS INC	COM	30161Q104	35667	2788674	SH	SOLE	 	2493166	0	295508
EXELON CORP	COM	30161N101	44592	1339508	SH	DFND	1	920946	0	418562
EXELON CORP	COM	30161N101	28	846	SH	SOLE	 	46	0	800
EXPEDIA INC	COM	30212P303	2000	17136	SH	DFND	1	6883	0	10253
EXPEDIA INC	COM	30212P303	4	32	SH	SOLE	 	32	0	0
EXPEDITORS INTL WASH INC	COM	302130109	42444	823837	SH	DFND	1	526337	0	297500
EXPEDITORS INTL WASH INC	COM	302130109	122919	2385843	SH	SOLE	 	2262227	0	123616
EXPRESS SCRIPTS HOLDING CO	COM	30219G108	8484	120291	SH	DFND	1	80406	0	39885
EXPRESS SCRIPTS HOLDING CO	COM	30219G108	23	323	SH	SOLE	 	323	0	0
EXTRA SPACE STORAGE INC	COM	30225T102	140957	1775053	SH	DFND	1	1322953	0	452100
EXTRA SPACE STORAGE INC	COM	30225T102	14	177	SH	SOLE	 	177	0	0
EXXON MOBIL CORP	COM	30231G102	239081	2739241	SH	DFND	1	1984052	0	755189
EXXON MOBIL CORP	COM	30231G102	3	36	SH	SOLE	 	36	0	0
F5 NETWORKS INC	COM	315616102	1950	15646	SH	DFND	1	11546	0	4100
F5 NETWORKS INC	COM	315616102	214	1719	SH	SOLE	 	1719	0	0
FACEBOOK INC-A	COM	30303M102	453689	3536984	SH	DFND	1	2498928	0	1038056
FACEBOOK INC-A	COM	30303M102	1069087	8334355	SH	SOLE	 	7539476	0	781571
FACTSET RESEARCH SYSTEMS INC	COM	303075105	16826	103800	SH	DFND	1	54200	0	49600
FACTSET RESEARCH SYSTEMS INC	COM	303075105	110575	682138	SH	SOLE	 	632722	0	49416
FASTENAL CO	COM	311900104	32478	777360	SH	DFND	1	658460	0	118900
FASTENAL CO	COM	311900104	41344	989562	SH	SOLE	 	911070	0	78492
FEDERAL REALTY INVS TRUST	COM	313747206	109612	712087	SH	DFND	1	511639	0	200448
FEDERAL REALTY INVS TRUST	COM	313747206	8	54	SH	SOLE	 	54	0	0
FEDERATED INVESTORS INC-CL B	COM	314211103	2447	82600	SH	DFND	1	38000	0	44600
FEDEX CORP	COM	31428X106	12147	69537	SH	DFND	1	49626	0	19911
FEDEX CORP	COM	31428X106	2	10	SH	SOLE	 	10	0	0
FIBROGEN INC	COM	31572Q808	31264	1510316	SH	SOLE	 	1367676	0	142640
FIDELITY  GUARANTY LIFE	COM	315785105	6715	289551	SH	SOLE	 	289551	0	0
FIDELITY NATIONAL INFO SERV	COM	31620M106	70340	913157	SH	DFND	1	663362	0	249795
FIDELITY NATIONAL INFO SERV	COM	31620M106	191871	2490855	SH	SOLE	 	2389902	0	100953
FIFTH THIRD BANCORP	COM	316773100	4642	226868	SH	DFND	1	166568	0	60300
FINANCIAL ENGINES INC	COM	317485100	76651	2579969	SH	SOLE	 	2397120	0	182849
FINANCIAL SELECT SECTOR SPDR	COM	81369Y605	234	12126	SH	DFND	1	12126	0	0
FINANCIAL SELECT SECTOR SPDR	COM	81369Y605	282	14625	SH	SOLE	 	14625	0	0
FIRST AMERICAN FINANCIAL	COM	31847R102	464	11800	SH	DFND	1	200	0	11600
FIRST HORIZON NATIONAL CORP	COM	320517105	1116	73300	SH	DFND	1	36900	0	36400
FIRST REPUBLIC BANK/CA	COM	33616C100	56620	734278	SH	DFND	1	481900	0	252378
FIRST SOLAR INC	COM	336433107	14481	366700	SH	DFND	1	288900	0	77800
FIRST SOLAR INC	COM	336433107	9	234	SH	SOLE	 	234	0	0
FIRST TRUST INTERMEDIATE DUR	COM	33718W103	2560	109700	SH	SOLE	 	109700	0	0
FIRSTENERGY CORP	COM	337932107	8526	257727	SH	DFND	1	125927	0	131800
FIRSTENERGY CORP	COM	337932107	3	88	SH	SOLE	 	88	0	0
FISERV INC	COM	337738108	319844	3215481	SH	DFND	1	2363958	0	851523
FIVE BELOW	COM	33829M101	53174	1319779	SH	SOLE	 	1234471	0	85308
FLAMEL TECHNOLOGIES-SP ADR	ADR	338488109	27092	2184836	SH	SOLE	 	2184836	0	0
FLEETCOR TECHNOLOGIES INC	COM	339041105	1390	8000	SH	DFND	1	3000	0	5000
FLEETMATICS GROUP PLC	COM	G35569105	19411	323618	SH	SOLE	 	277460	0	46158
FLEX LTD	COM	Y2573F102	6053	444400	SH	DFND	1	385300	0	59100
FLEX LTD	COM	Y2573F102	338759	24872134	SH	SOLE	 	23158944	0	1713190
FLIR SYSTEMS INC	COM	302445101	4507	143430	SH	DFND	1	133030	0	10400
FLIR SYSTEMS INC	COM	302445101	18	557	SH	SOLE	 	557	0	0
FLOWERS FOODS INC	COM	343498101	956	63200	SH	DFND	1	29800	0	33400
FLOWSERVE CORP	COM	34354P105	33715	698905	SH	DFND	1	583005	0	115900
FLOWSERVE CORP	COM	34354P105	88163	1827560	SH	SOLE	 	1676666	0	150894
FLUOR CORP	COM	343412102	73663	1435360	SH	DFND	1	1128660	0	306700
FLUOR CORP	COM	343412102	1	23	SH	SOLE	 	23	0	0
FMC CORP	COM	302491303	31710	655978	SH	DFND	1	553778	0	102200
FMC CORP	COM	302491303	3	69	SH	SOLE	 	69	0	0
FMC TECHNOLOGIES INC	COM	30249U101	800	26970	SH	DFND	1	15770	0	11200
FMC TECHNOLOGIES INC	COM	30249U101	35	1194	SH	SOLE	 	1194	0	0
FNF GROUP	COM	31620R303	6481	175600	SH	DFND	1	82400	0	93200
FOOT LOCKER INC	COM	344849104	15989	236099	SH	DFND	1	60899	0	175200
FOOT LOCKER INC	COM	344849104	170	2506	SH	SOLE	 	2006	0	500
FORD MOTOR CO	COM	345370860	7262	601670	SH	DFND	1	264470	0	337200
FORD MOTOR CO	COM	345370860	63	5199	SH	SOLE	 	5199	0	0
FOREST CITY REALTY TRUST	CAL	345550AR8	5277	4776000	SH	SOLE	 	4776000	0	0
FOREST CITY REALTY TRUST- A	COM	345605109	250	10800	SH	DFND	1	200	0	10600
FORTINET INC	COM	34959E109	956	25900	SH	DFND	1	16300	0	9600
FORTIVE CORP	COM	34959J108	35690	701185	SH	DFND	1	519835	0	181350
FORTIVE CORP	COM	34959J108	5	94	SH	SOLE	 	94	0	0
FORTUNE BRANDS HOME  SECURI	COM	34964C106	82294	1416412	SH	DFND	1	986612	0	429800
FORTUNE BRANDS HOME  SECURI	COM	34964C106	3	44	SH	SOLE	 	44	0	0
FRANKLIN RESOURCES INC	COM	354613101	1249	35100	SH	DFND	1	17000	0	18100
FREEPORT-MCMORAN INC	COM	35671D857	34567	3182930	SH	DFND	1	2407530	0	775400
FRESENIUS MEDICAL CARE-ADR	ADR	358029106	508	11604	SH	SOLE	 	11604	0	0
FRONTIER COMMUNICATIONS CORP	COM	35906A108	4933	1185849	SH	DFND	1	923049	0	262800
FRONTIER COMMUNICATIONS CORP	COM	35906A108	3	836	SH	SOLE	 	836	0	0
GABELLI DIVIDEND  INCOME TR	COM	36242H104	991	51606	SH	SOLE	 	51606	0	0
GAMESTOP CORP-CLASS A	COM	36467W109	519	18800	SH	DFND	1	300	0	18500
GAMING AND LEISURE PROPERTIE	COM	36467J108	1308	39100	SH	DFND	1	38100	0	1000
GAP INC/THE	COM	364760108	884	39760	SH	DFND	1	31160	0	8600
GAP INC/THE	COM	364760108	6	257	SH	SOLE	 	257	0	0
GARMIN LTD	COM	H2906T109	19417	403600	SH	DFND	1	338200	0	65400
GARMIN LTD	COM	H2906T109	55513	1153871	SH	SOLE	 	1153871	0	0
GARTNER INC	COM	366651107	33806	382200	SH	DFND	1	255100	0	127100
GARTNER INC	COM	366651107	173768	1964592	SH	SOLE	 	1701825	0	262767
GENERAL DYNAMICS CORP	COM	369550108	118578	764228	SH	DFND	1	601722	0	162506
GENERAL DYNAMICS CORP	COM	369550108	197665	1273942	SH	SOLE	 	1273942	0	0
GENERAL ELECTRIC CO	COM	369604103	281249	9495251	SH	DFND	1	6998094	0	2497157
GENERAL ELECTRIC CO	COM	369604103	566276	19119363	SH	SOLE	 	18524402	0	518207
GENERAL GROWTH PROPERTIES	COM	370023103	3409	123500	SH	DFND	1	80800	0	42700
GENERAL GROWTH PROPERTIES	COM	370023103	5662	205162	SH	SOLE	 	205162	0	0
GENERAL MILLS INC	COM	370334104	224410	3512991	SH	DFND	1	2385891	0	1127100
GENERAL MILLS INC	COM	370334104	117	1835	SH	SOLE	 	35	0	1800
GENERAL MOTORS CO	COM	37045V100	5544	174500	SH	DFND	1	75000	0	99500
GENERAL MOTORS CO	COM	37045V100	689311	21696918	SH	SOLE	 	21696918	0	0
GENPACT LTD	COM	G3922B107	13333	556700	SH	DFND	1	322900	0	233800
GENPACT LTD	COM	G3922B107	116	4839	SH	SOLE	 	4839	0	0
GENTEX CORP	COM	371901109	2416	137600	SH	DFND	1	68800	0	68800
GENTEX CORP	COM	371901109	87	4963	SH	SOLE	 	4963	0	0
GENTHERM INC	COM	37253A103	16926	538699	SH	SOLE	 	467643	0	71056
GENUINE PARTS CO	COM	372460105	54497	542527	SH	DFND	1	426627	0	115900
GENUINE PARTS CO	COM	372460105	47503	472900	SH	SOLE	 	472900	0	0
GILDAN ACTIVEWEAR INC	COM	375916103	262445	9389764	SH	SOLE	 	8772655	0	617109
GILEAD SCIENCES INC	COM	375558103	43833	554012	SH	DFND	1	378834	0	175178
GILEAD SCIENCES INC	COM	375558103	140572	1776692	SH	SOLE	 	1612632	0	164060
GLAUKOS CORP	COM	377322102	10058	266515	SH	SOLE	 	238728	0	27787
GLOBAL BLOOD THERAPEUTICS IN	COM	37890U108	28050	1216905	SH	SOLE	 	1086531	0	130374
GLOBAL PAYMENTS INC	COM	37940X102	60140	783485	SH	DFND	1	514585	0	268900
GLOBAL PAYMENTS INC	COM	37940X102	115981	1510950	SH	SOLE	 	1425821	0	85129
GLOBAL X MSCI COLOMBIA ETF	ETD	37950E200	226	23769	SH	DFND	1	23769	0	0
GLOBAL X MSCI COLOMBIA ETF	ETD	37950E200	210	22167	SH	SOLE	 	22167	0	0
GLOBANT SA	COM	L44385109	3452	81960	SH	SOLE	 	81960	0	0
GLOBUS MEDICAL INC - A	COM	379577208	87133	3860561	SH	SOLE	 	3551691	0	308870
GOLDMAN SACHS GROUP INC	COM	38141G104	9434	58501	SH	DFND	1	32601	0	25900
GOODYEAR TIRE  RUBBER CO	COM	382550101	36780	1138700	SH	DFND	1	881800	0	256900
GRACO INC	COM	384109104	1598	21600	SH	DFND	1	7000	0	14600
GRAMERCY PROPERTY TRUST	COM	385002100	5562	576997	SH	SOLE	 	576997	0	0
GRAPHIC PACKAGING HOLDING CO	COM	388689101	1024	73200	SH	DFND	1	33600	0	39600
GREAT PLAINS ENERGY INC	COM	391164100	6099	223500	SH	DFND	1	96700	0	126800
GREENHILL  CO INC	COM	395259104	226	9600	SH	DFND	1	9600	0	0
GROUPON INC	COM	399473107	141	27300	SH	DFND	1	400	0	26900
GRUBHUB INC	COM	400110102	44696	1039685	SH	SOLE	 	972049	0	67636
GUIDEWIRE SOFTWARE INC	COM	40171V100	8787	146500	SH	DFND	1	62800	0	83700
GUIDEWIRE SOFTWARE INC	COM	40171V100	95790	1597035	SH	SOLE	 	1431009	0	166026
GULFPORT ENERGY CORP	COM	402635304	387	13700	SH	DFND	1	10200	0	3500
GW PHARMACEUTICALS -ADR	ADR	36197T103	102833	774753	SH	SOLE	 	706625	0	68128
HR BLOCK INC	COM	093671105	4564	197157	SH	DFND	1	178657	0	18500
HR BLOCK INC	COM	093671105	15	645	SH	SOLE	 	645	0	0
HAIN CELESTIAL GROUP INC	COM	405217100	210	5900	SH	DFND	1	700	0	5200
HAIN CELESTIAL GROUP INC	COM	405217100	55	1539	SH	SOLE	 	1539	0	0
HALLIBURTON CO	COM	406216101	50421	1123453	SH	DFND	1	872253	0	251200
HALLIBURTON CO	COM	406216101	57752	1286781	SH	SOLE	 	1107204	0	179577
HANESBRANDS INC	COM	410345102	8085	320210	SH	DFND	1	171910	0	148300
HANESBRANDS INC	COM	410345102	5	198	SH	SOLE	 	198	0	0
HANOVER INSURANCE GROUP INC/	COM	410867105	3552	47100	SH	DFND	1	24000	0	23100
HARLEY-DAVIDSON INC	COM	412822108	1103	20979	SH	DFND	1	8879	0	12100
HARLEY-DAVIDSON INC	COM	412822108	29187	554992	SH	SOLE	 	554992	0	0
HARMAN INTERNATIONAL	COM	413086109	625	7400	SH	DFND	1	3000	0	4400
HARRIS CORP	COM	413875105	42109	459653	SH	DFND	1	375353	0	84300
HARRIS CORP	COM	413875105	13	137	SH	SOLE	 	137	0	0
HARTFORD FINANCIAL SVCS GRP	COM	416515104	77589	1811990	SH	DFND	1	1467990	0	344000
HARTFORD FINANCIAL SVCS GRP	COM	416515104	5	113	SH	SOLE	 	113	0	0
HASBRO INC	COM	418056107	120374	1517384	SH	DFND	1	1148984	0	368400
HASBRO INC	COM	418056107	87866	1107603	SH	SOLE	 	1107603	0	0
HAWAIIAN ELECTRIC INDS	COM	419870100	6209	208000	SH	DFND	1	128100	0	79900
HCA HOLDINGS INC	COM	40412C101	10911	144262	SH	DFND	1	113562	0	30700
HCA HOLDINGS INC	COM	40412C101	131014	1732301	SH	SOLE	 	1572099	0	160202
HCP INC	COM	40414L109	4421	116500	SH	DFND	1	87800	0	28700
HCP INC	COM	40414L109	122	3219	SH	SOLE	 	3219	0	0
HD SUPPLY HOLDINGS INC	COM	40416M105	2833	88600	SH	DFND	1	33900	0	54700
HDFC BANK LTD-ADR	ADR	40415F101	11664	162231	SH	SOLE	 	124091	0	38140
HEALTHCARE SERVICES GROUP	COM	421906108	67141	1696339	SH	SOLE	 	1584884	0	111455
HEALTHCARE TRUST OF AME-CL A	COM	42225P501	9065	277900	SH	DFND	1	131350	0	146550
HEALTHEQUITY INC	COM	42226A107	101407	2679186	SH	SOLE	 	2494935	0	184251
HEALTHSTREAM INC	COM	42222N103	4896	177390	SH	SOLE	 	164086	0	13304
HEICO CORP	COM	422806109	6971	100741	SH	SOLE	 	100741	0	0
HEICO CORP-CLASS A	COM	422806208	823	13600	SH	DFND	1	13600	0	0
HEICO CORP-CLASS A	COM	422806208	271965	4494553	SH	SOLE	 	4154269	0	340284
HELEN OF TROY LTD	COM	G4388N106	311	3608	SH	SOLE	 	0	0	3608
HELMERICH  PAYNE	COM	423452101	74860	1112330	SH	DFND	1	862830	0	249500
HELMERICH  PAYNE	COM	423452101	9	128	SH	SOLE	 	128	0	0
HENRY SCHEIN INC	COM	806407102	175293	1075549	SH	DFND	1	787149	0	288400
HENRY SCHEIN INC	COM	806407102	182528	1119938	SH	SOLE	 	1043947	0	75991
HERBALIFE LTD	COM	G4412G101	242	3900	SH	DFND	1	100	0	3800
HERBALIFE LTD	COM	G4412G101	171	2757	SH	SOLE	 	2757	0	0
HERITAGE-CRYSTAL CLEAN INC	COM	42726M106	1162	87473	SH	SOLE	 	87473	0	0
HERON THERAPEUTICS INC	COM	427746102	69502	4033800	SH	SOLE	 	3707409	0	326391
HERSHEY CO/THE	COM	427866108	50758	530937	SH	DFND	1	279737	0	251200
HERSHEY CO/THE	COM	427866108	551780	5771734	SH	SOLE	 	5659459	0	112275
HESS CORP	COM	42809H107	20555	383343	SH	DFND	1	325443	0	57900
HESS CORP	COM	42809H107	5	95	SH	SOLE	 	95	0	0
HEWLETT PACKARD ENTERPRIS	COM	42824C109	18857	828866	SH	DFND	1	619966	0	208900
HEWLETT PACKARD ENTERPRIS	COM	42824C109	5	220	SH	SOLE	 	220	0	0
HEXCEL CORP	COM	428291108	3057	69000	SH	DFND	1	34500	0	34500
HEXCEL CORP	COM	428291108	89	2020	SH	SOLE	 	2020	0	0
HIGHWOODS PROPERTIES INC	COM	431284108	4472	85800	SH	DFND	1	20200	0	65600
HILL-ROM HOLDINGS INC	COM	431475102	6006	96900	SH	DFND	1	52400	0	44500
HILTON WORLDWIDE HOLDINGS IN	COM	43300A104	1048	45700	SH	DFND	1	20200	0	25500
HILTON WORLDWIDE HOLDINGS IN	COM	43300A104	32204	1404460	SH	SOLE	 	1279484	0	124976
HOEGH LNG PARTNERS LP	COM	Y3262R100	3081	163700	SH	SOLE	 	163700	0	0
HOLLYFRONTIER CORP	COM	436106108	884	36100	SH	DFND	1	27400	0	8700
HOLOGIC INC	COM	436440101	10102	260159	SH	DFND	1	136759	0	123400
HOLOGIC INC	COM	436440101	5	139	SH	SOLE	 	139	0	0
HOME DEPOT INC	COM	437076102	488133	3793385	SH	DFND	1	2726580	0	1066805
HOME DEPOT INC	COM	437076102	535122	4158549	SH	SOLE	 	4158549	0	0
HONEYWELL INTERNATIONAL INC	COM	438516106	118011	1012190	SH	DFND	1	650512	0	361678
HONEYWELL INTERNATIONAL INC	COM	438516106	511904	4390620	SH	SOLE	 	4297741	0	92879
HORIZON PHARMA PLC	COM	G4617B105	69181	3815813	SH	SOLE	 	3460367	0	355446
HORMEL FOODS CORP	COM	440452100	110511	2913554	SH	DFND	1	1938158	0	975396
HORMEL FOODS CORP	COM	440452100	15	400	SH	SOLE	 	0	0	400
HOSPITALITY PROPERTIES TRUST	COM	44106M102	731	24600	SH	DFND	1	17200	0	7400
HOST HOTELS  RESORTS INC	COM	44107P104	1300	83500	SH	DFND	1	39800	0	43700
HP INC	COM	40434L105	3984	256566	SH	DFND	1	154566	0	102000
HP INC	COM	40434L105	66	4228	SH	SOLE	 	4228	0	0
HSN INC	COM	404303109	41428	1040895	SH	SOLE	 	973185	0	67710
HUBBELL INC	COM	443510607	2446	22700	SH	DFND	1	9500	0	13200
HUMANA INC	COM	444859102	36448	206048	SH	DFND	1	120948	0	85100
HUMANA INC	COM	444859102	141692	801015	SH	SOLE	 	726707	0	74308
HUNT (JB) TRANSPRT SVCS INC	COM	445658107	15995	197130	SH	DFND	1	172230	0	24900
HUNT (JB) TRANSPRT SVCS INC	COM	445658107	4	50	SH	SOLE	 	50	0	0
HUNTINGTON BANCSHARES INC	COM	446150104	9750	988800	SH	DFND	1	738000	0	250800
HUNTINGTON INGALLS INDUSTRIE	COM	446413106	14974	97600	SH	DFND	1	45900	0	51700
HUNTSMAN CORP	COM	447011107	5885	361700	SH	DFND	1	146900	0	214800
HURON CONSULTING GROUP INC	COM	447462102	47914	801780	SH	SOLE	 	748344	0	53436
IAC/INTERACTIVECORP	COM	44919P508	262	4200	SH	DFND	1	100	0	4100
ICU MEDICAL INC	COM	44930G107	17357	137337	SH	SOLE	 	137337	0	0
IDEX CORP	COM	45167R104	11575	123700	SH	DFND	1	55200	0	68500
IDEXX LABORATORIES INC	COM	45168D104	36051	319800	SH	DFND	1	232800	0	87000
IDEXX LABORATORIES INC	COM	45168D104	208	1845	SH	SOLE	 	1845	0	0
IHS MARKIT LTD	COM	G47567105	254	6756	SH	DFND	1	6756	0	0
IHS MARKIT LTD	COM	G47567105	284357	7572759	SH	SOLE	 	7047285	0	525474
ILLINOIS TOOL WORKS	COM	452308109	118571	989412	SH	DFND	1	737026	0	252386
ILLINOIS TOOL WORKS	COM	452308109	1	8	SH	SOLE	 	8	0	0
ILLUMINA INC	COM	452327109	5616	30913	SH	DFND	1	19713	0	11200
ILLUMINA INC	COM	452327109	1	5	SH	SOLE	 	5	0	0
IMS HEALTH HOLDINGS INC	COM	44970B109	3093	98700	SH	DFND	1	52400	0	46300
IMS HEALTH HOLDINGS INC	COM	44970B109	243675	7775207	SH	SOLE	 	7128460	0	646747
INCYTE CORP	COM	45337C102	1301	13800	SH	DFND	1	5600	0	8200
INCYTE CORP	COM	45337C102	57641	611313	SH	SOLE	 	554678	0	56635
INDUSTRIAS BACHOCO SAB SP AD	COM	456463108	610	12161	SH	SOLE	 	12161	0	0
INGERSOLL-RAND PLC	COM	G47791101	59202	871380	SH	DFND	1	676580	0	194800
INGERSOLL-RAND PLC	COM	G47791101	2	31	SH	SOLE	 	31	0	0
INGRAM MICRO INC-CL A	COM	457153104	3441	96500	SH	DFND	1	42600	0	53900
INGRAM MICRO INC-CL A	COM	457153104	713	20000	SH	SOLE	 	20000	0	0
INGREDION INC	COM	457187102	27716	208300	SH	DFND	1	125300	0	83000
INSMED INC	COM	457669307	41782	2877537	SH	SOLE	 	2611610	0	265927
INSTRUCTURE INC	COM	45781U103	18721	737906	SH	SOLE	 	593323	0	144583
INSULET CORP	COM	45784P101	24049	587421	SH	SOLE	 	580372	0	7049
INTEL CORP	COM	458140100	142049	3762889	SH	DFND	1	2418989	0	1343900
INTERACTIVE BROKERS GRO-CL A	COM	45841N107	2296	65100	SH	DFND	1	25400	0	39700
INTERCEPT PHARMACEUTICALS IN	COM	45845P108	527	3200	SH	DFND	1	0	0	3200
INTERCONTINENTAL EXCHANGE IN	COM	45866F104	47665	176957	SH	DFND	1	141427	0	35530
INTERCONTINENTAL EXCHANGE IN	COM	45866F104	304626	1130893	SH	SOLE	 	1058708	0	65582
INTERNATIONAL PAPER CO	COM	460146103	23419	488095	SH	DFND	1	393495	0	94600
INTERNATIONAL PAPER CO	COM	460146103	2	36	SH	SOLE	 	36	0	0
INTERPUBLIC GROUP OF COS INC	COM	460690100	114088	5104592	SH	DFND	1	3739392	0	1365200
INTERPUBLIC GROUP OF COS INC	COM	460690100	18	814	SH	SOLE	 	814	0	0
INTERXION HOLDING NV	COM	N47279109	36277	1001568	SH	SOLE	 	720930	0	280638
INTL BUSINESS MACHINES CORP	COM	459200101	36406	229185	SH	DFND	1	144690	0	84495
INTL FLAVORS  FRAGRANCES	COM	459506101	100185	700740	SH	DFND	1	514494	0	186246
INTL FLAVORS  FRAGRANCES	COM	459506101	16	115	SH	SOLE	 	115	0	0
INTUIT INC	COM	461202103	146909	1335414	SH	DFND	1	970200	0	365214
INTUIT INC	COM	461202103	132618	1205509	SH	SOLE	 	1130431	0	75078
INTUITIVE SURGICAL INC	COM	46120E602	111512	153846	SH	DFND	1	112846	0	41000
INTUITIVE SURGICAL INC	COM	46120E602	13	18	SH	SOLE	 	18	0	0
INVESCO LTD	COM	G491BT108	1939	62000	SH	DFND	1	32600	0	29400
IONIS PHARMACEUTICALS INC	COM	462222100	469	12800	SH	DFND	1	3300	0	9500
IPG PHOTONICS CORP	COM	44980X109	6390	77600	SH	DFND	1	30700	0	46900
IPG PHOTONICS CORP	COM	44980X109	102	1241	SH	SOLE	 	1241	0	0
IRON MOUNTAIN INC	COM	46284V101	75097	2000987	SH	DFND	1	1558487	0	442500
IRON MOUNTAIN INC	COM	46284V101	7	196	SH	SOLE	 	196	0	0
IRONWOOD PHARMACEUTICALS INC	COM	46333X108	209574	13197320	SH	SOLE	 	12064005	0	1133315
ISHARES 20+ YEAR TREASURY BO	ETD	464287432	290	2107	SH	SOLE	 	2107	0	0
ISHARES 7-10 YEAR TREASURY B	ETD	464287440	321	2869	SH	SOLE	 	2869	0	0
ISHARES AGENCY BOND ETF	ETD	464288166	340	2945	SH	SOLE	 	2945	0	0
ISHARES CORE MSCI EMERGING	ETD	46434G103	473	10380	SH	DFND	1	10380	0	0
ISHARES CORE MSCI EMERGING	ETD	46434G103	189	4145	SH	SOLE	 	4145	0	0
ISHARES CORE SP 500 ETF	ETD	464287200	6970	32038	SH	DFND	1	32038	0	0
ISHARES CORE SP 500 ETF	ETD	464287200	16599	76298	SH	SOLE	 	76298	0	0
ISHARES CORE U.S. AGGREGATE	ETD	464287226	9997	88923	SH	DFND	1	88923	0	0
ISHARES IBOXX INVESTMENT GRA	ETD	464287242	270	2190	SH	SOLE	 	2190	0	0
ISHARES IBOXX USD HIGH YIELD	ETD	464288513	218	2503	SH	SOLE	 	2503	0	0
ISHARES INDIA 50 ETF	ETD	464289529	9983	335000	SH	DFND	1	258800	0	76200
ISHARES MSCI ALL COUNTRY ASI	ETD	464288182	1423	23517	SH	DFND	1	23517	0	0
ISHARES MSCI ALL PERU CAPPED	ETD	464289842	209	6290	SH	DFND	1	6290	0	0
ISHARES MSCI ALL PERU CAPPED	ETD	464289842	125	3780	SH	SOLE	 	3780	0	0
ISHARES MSCI BRAZIL CAPPED E	ETD	464286400	425	12609	SH	DFND	1	12609	0	0
ISHARES MSCI BRAZIL CAPPED E	ETD	464286400	152	4518	SH	SOLE	 	4518	0	0
ISHARES MSCI CHILE CAPPED ET	ETD	464286640	138	3749	SH	DFND	1	3749	0	0
ISHARES MSCI CHILE CAPPED ET	ETD	464286640	67	1816	SH	SOLE	 	1816	0	0
ISHARES MSCI JAPAN ETF	ETD	464286848	1350	107631	SH	DFND	1	107631	0	0
ISHARES MSCI MEXICO CAPPED	ETD	464286822	199	4096	SH	DFND	1	4096	0	0
ISHARES MSCI MEXICO CAPPED	ETD	464286822	80	1644	SH	SOLE	 	1644	0	0
ISHARES MSCI SOUTH KOREA CAP	ETD	464286772	2992	51478	SH	DFND	1	51478	0	0
ISHARES MSCI SOUTH KOREA CAP	ETD	464286772	57	974	SH	SOLE	 	974	0	0
ISHARES MSCI TAIWAN ETF	ETD	464286731	13475	858300	SH	DFND	1	783600	0	74700
ISHARES MSCI UNITED KINGDOM	ETD	46434V548	2567	162048	SH	DFND	1	162048	0	0
ISHARES RUSSELL 2000 ETF	ETD	464287655	4289	34527	SH	DFND	1	34527	0	0
ISHARES US PREFERRED STOCK E	ETD	464288687	22253	563365	SH	SOLE	 	563365	0	0
ITAU UNIBANCO H-SPON PRF ADR	ADR	465562106	3067	280390	SH	SOLE	 	280390	0	0
ITC HOLDINGS CORP	COM	465685105	11062	238000	SH	DFND	1	125100	0	112900
ITT INC	COM	45073V108	1315	36700	SH	DFND	1	17300	0	19400
ITT INC	COM	45073V108	77663	2166946	SH	SOLE	 	2024728	0	142218
J.C. PENNEY CO INC	COM	708160106	1058	114800	SH	DFND	1	40600	0	74200
J2 GLOBAL INC	COM	48123V102	33820	507728	SH	SOLE	 	469126	0	38602
JABIL CIRCUIT INC	COM	466313103	214	9800	SH	DFND	1	200	0	9600
JACK HENRY  ASSOCIATES INC	COM	426281101	25665	300000	SH	DFND	1	155000	0	145000
JACK HENRY  ASSOCIATES INC	COM	426281101	270510	3162008	SH	SOLE	 	2972914	0	189094
JACOBS ENGINEERING GROUP INC	COM	469814107	65263	1261856	SH	DFND	1	978056	0	283800
JACOBS ENGINEERING GROUP INC	COM	469814107	1	21	SH	SOLE	 	21	0	0
JAZZ PHARMACEUTICALS PLC	COM	G50871105	292	2400	SH	DFND	1	2400	0	0
JAZZ PHARMACEUTICALS PLC	COM	G50871105	118713	977224	SH	SOLE	 	912405	0	64819
JD.COM INC-ADR	ADR	47215P106	57	2200	SH	DFND	1	2200	0	0
JD.COM INC-ADR	ADR	47215P106	6701	256830	SH	SOLE	 	256830	0	0
JETBLUE AIRWAYS CORP	COM	477143101	1796	104200	SH	DFND	1	51100	0	53100
JETBLUE AIRWAYS CORP	COM	477143101	122	7067	SH	SOLE	 	7067	0	0
JM SMUCKER CO/THE	COM	832696405	44570	328836	SH	DFND	1	243436	0	85400
JM SMUCKER CO/THE	COM	832696405	2	14	SH	SOLE	 	14	0	0
JOHNSON  JOHNSON	COM	478160104	289298	2448981	SH	DFND	1	1780400	0	668581
JOHNSON  JOHNSON	COM	478160104	8	71	SH	SOLE	 	71	0	0
JOHNSON CONTROLS INTERNATION	COM	G51502105	11685	251131	SH	DFND	1	191659	0	59472
JOHNSON CONTROLS INTERNATION	COM	G51502105	5	116	SH	SOLE	 	116	0	0
JONES LANG LASALLE INC	COM	48020Q107	728	6400	SH	DFND	1	4200	0	2200
JONES LANG LASALLE INC	COM	48020Q107	134904	1185545	SH	SOLE	 	1090587	0	94958
